RID,rname,cuisine
144,Kolkata Biryani - Jugsalai,Biryani
145,Mahi Momos,Chinese
146,The Bawarchi,"North Indian,Chinese"
147,BEYOND TEMPTATION,"Pizzas,Pastas"
148,Milanee s Kitchen,"Bengali,Indian"
149,Al Karim Fast Food,"Street Food,Chinese"
150,Raj Sweets and Snackes (Sindhi),"Indian,South Indian"
151,The Moti Mahal,"Indian,Chinese"
152,Manohar Maharaj & Sons,"South Indian,Chaat"
153,Chinese Inn,"Chinese,Indian"
154,DELLISH,"Chinese,Continental"
155,Ramesh Kulfi,"Chinese,North Indian"
156,New Gangour Sweets,"Sweets,Snacks"
157,Fakira Chanachur,Snacks
158,Yash Siddhant Takeaway,"South Indian,Chinese"
159,Sehat World,"Beverages,Italian"
160,Brubeck Bakery,"Bakery,Desserts"
161,Annapurna,"Chinese,Tandoor"
162,The Chocolate Room,"Bakery,Beverages"
163,Le Bon,"Bakery,Pizzas"
164,Foodie Baba,"Chinese,South Indian"
165,New Chappan Bhog - Bistupur,"Sweets,Snacks"
166,TIME OUT,"Chaat,South Indian"
167,GUAVA - ALL DAY BISTRO,"Chinese,Biryani"
168,Laziz Biryani,Biryani
169,Chulha Chauka,"Thalis,Indian"
170,Olive  Multicuisine Restaurant,"Chinese,North Indian"
171,Hong Kong,Chinese
172,BAKING BOND,"Bakery,Desserts"
173,MUMMY SPECIAL KITCHEN,"Indian,Chinese"
174,DESI BIDESI,North Indian
175,Puja Bhojnalaya,"Indian,Biryani"
176,Blooms,Indian
177,Chai Break,"North Indian,Chinese"
178,BIRYANI  WALE,Biryani
179,Kebabchi,"Indian,Snacks"
180,Pizza Peddler,"Pizzas,Pastas"
181,Veggie Corner( Hotel Nataraj),"Pizzas,South Indian"
182,Dosa king,South Indian
183,Bhatia Milkshake,Beverages
184,Candle light,"Indian,Chinese"
185,RECIPE,"Indian,Bengali"
186,Equinox,"Indian,Chinese"
187,THE BOULANGERIE,"Bakery,Burgers"
188,MOTHER'S BAKERY,Bakery
189,Thanco's Natural Ice Cream,Ice Cream
190,Gopalram Restaurant,"South Indian,Chinese"
191,MEDIVALS MEAL,"Chinese,Indian"
192,Kwality,"Indian,Chinese"
193,Chinese Fusion,Indian
194,Bon Appetit,"Indian,Chinese"
195,JH05 Cafe,"Chinese,Beverages"
196,Social 75,"Continental,Indian"
197,AADD M AADD B,"Ice Cream,Beverages"
198,Baskin Robbins,"Desserts,Ice Cream"
199,Blue Sapphire,"Indian,Biryani"
200,BAMBOO CAFE,"Indian,Chinese"
201,Sagar's Kitchen Kraft,"Indian,Chinese"
202,Pajji Da Lassi,Beverages
203,Fakira Chanachur (Tulsi Bhawan),"Indian,Snacks"
204,The Food Circus,"Chinese,Continental"
205,Crunchicken,"Indian,American"
206,Delight Foods,Indian
207,SAGAR SWEETS,"Indian,Snacks"
208,Spice Zone( Hotel Nataraj),Indian
209,Lion's Pride,North Indian
210,Mainland India,"Indian,Thalis"
211,So china,"Chinese,Tibetan"
212,Cafe Regal,"Fast Food,Snacks"
213,Chopsticks,"Indian,Chinese"
214,Momo Kitchen,"Chinese,Snacks"
215,AL- HUSSAIN RESTAURANT,"Chinese,Biryani"
216,Taste of China,"Chinese,Thai"
217,TAZ CAKES N MOUSSE.,Desserts
218,Tasty Spoon & Gungun Tiffin,"Indian,Chinese"
219,New US Pizza,"Pizzas,Snacks"
220,Bhook Pyaas,"Chinese,Indian"
221,Aditi Foods,Indian
222,Chinimama,"Chinese,Biryani"
223,Brunch Italino (Kadma Market),"Bakery,Desserts"
224,Rajasthan Sharma Hotel,"Sweets,Snacks"
