RID,rname,cuisine
2343,Rk Restaurant,"Indian,Chinese"
2344,Raghuvanshi Thal,Gujarati
2345,Maharaj Namkeen And Samosa,Snacks
2346,Mummy'S Kitchen,"Gujarati,Punjabi"
2347,LunchBox - Meals and Thalis,"North Indian,Punjabi"
2348,Bherunath Meggi And Pasta,"Snacks,Fast Food"
2349,THE WRAP LAND,Fast Food
2350,Oh Idli,South Indian
2351,The Shake Maker,Beverages
2352,Bhukkhad Bhau,"Snacks,Maharashtrian"
2353,Us Pizza,Pizzas
2354,Gabru Vadapav,Street Food
2355,FTV Cafe & Restro,"American,Pizzas"
2356,Saras Restaurant,"Indian,North Indian"
2357,Navrang Chinese Food,Chinese
2358,Chinese King,Chinese
2359,Faasos - Wraps & Rolls,"Fast Food,Snacks"
2360,Masala Darbar Restaurant,"Indian,Chinese"
2361,Juice Wala,"Juices,Beverages"
2362,Paratha Platform,Indian
2363,Martino'z Pizza,"Pizzas,Italian"
2364,Delhi Tandoor,"North Indian,Tandoor"
2365,Samrat Snack Bar,"South Indian,Street Food"
2366,Nagneshwari Paratha House,"Thalis,Beverages"
2367,Chhaswala,Beverages
2368,Shreeji Sevusalwala,Street Food
2369,Brother'S Kitchen,"Indian,Fast Food"
2370,Booster Box,"North Indian,Indian"
2371,Papa Louie s Pizza,"Pizzas,Fast Food"
2372,Tbc By The Black Chimney,"Indian,Chinese"
2373,Bhukhhad Restaurant,Snacks
2374,Shakti - The Sandwich Shop,"Pizzas,Combo"
2375,Ghatlodia monginis,Bakery
2376,Aadis Egg And Chick N Curries,"Seafood,Chinese"
2377,Om Foods,"North Indian,South Indian"
2378,Fantasy Kitchen,"Street Food,Beverages"
2379,Jalaram Khaman House,Gujarati
2380,Gj-1 Chinese Food & Fast Food,Chinese
2381,24/7 Fast Food,"Fast Food,Pizzas"
2382,Non Veg Party,Mughlai
2383,Kitchen Krafft,"North Indian,Biryani"
2384,Yanki Sizzlers,"Chinese,Italian"
2385,Grubian,"Chinese,Beverages"
2386,Jalaram Farsan House,Fast Food
2387,Delicious Hub,"North Indian,South Indian"
2388,Hayaan's Kitchen,"Gujarati,Punjabi"
2389,Saurashtra Dairy Farm,Desserts
2390,Laxmi Fast Food,Street Food
2391,Jignasa Food,"South Indian,Gujarati"
2392,Ravis Egg Eatry,"Snacks,Indian"
2393,Tea Post A Place To Talk,"Snacks,Bakery"
2394,Keventers Ice Cream,"Ice Cream,Desserts"
2395,Dk Coffee And Juice Bar,"Beverages,Fast Food"
2396,Restro The Lady Kitchen,"Indian,Thalis"
2397,Tasteilla Snacks,Snacks
2398,Healthy & Hygiene,"Indian,Healthy Food"
2399,Karnavati Snacks,"Snacks,Fast Food"
2400,Frankie On Fire,"Fast Food,Snacks"
2401,Yuvi chinese & bhajipav,"Chinese,Street Food"
2402,Vadigam Farsan House,"Gujarati,Sweets"
2403,Dsilvas Kitchen,North Indian
2404,Rich Nutritionalwala,"Thalis,Punjabi"
2405,Dp Cake Studio,Indian
2406,Harshail,"Mexican,Punjabi"
2407,Gulalwadi,North Indian
2408,South Amma,South Indian
2409,Bhaathu,"Gujarati,Snacks"
2410,D'Souza Take Away,"North Indian,Biryani"
2411,Patel ni panipuri,Indian
2412,Mr. Jumbo,"Fast Food,Italian"
2413,Khao Khichdi,North Indian
2414,L & M With Milky Way,Pizzas
2415,Fresh N Fresh,Bakery
2416,Faasos' Signature Wraps & Rolls,"Snacks,Beverages"
2417,North Street,"North Indian,Fast Food"
2418,Franky Station - Sindhubhavan,Beverages
2419,Jay Bhavani Vadapav,Snacks
2420,Krishna Dalbati,"Rajasthani,Snacks"
2421,Nilkamal Food Corner,"Fast Food,Street Food"
2422,Choice Of Pizzas,"Italian,Snacks"
2423,Prelude Restaurant,"Snacks,Desserts"
2424,Foodie Panda,"Indian,Beverages"
2425,Shetty'S Kitchen,"South Indian,North Indian"
2426,Happinezz Ice Creams by Vadilal,"Ice Cream,Beverages"
2427,The Shake Maker,Beverages
2428,Gajanand Paratha House,"North Indian,Indian"
2429,Arose Foods,"North Indian,Mexican"
2430,Honest,"Indian,Chinese"
2431,Shriji Khana Khazana,"North Indian,Chinese"
2432,THE DOSA CAFE,South Indian
2433,Bon Pizza,"Pizzas,Snacks"
2434,Tea Post,"Beverages,Snacks"
2435,RP's Pizzeria,Italian
2436,The Night King Cafe,"Pizzas,Burgers"
2437,Madhuli Kathiyawadi Garden Restaurant,"Indian,North Indian"
2438,Dropout Cafe,"Mexican,Snacks"
2439,Grilloz Food,"Fast Food,Snacks"
2440,La Milano Pizzeria,"Pizzas,Pastas"
2441,McCafe by McDonald's,"American,Beverages"
2442,Wheres My Burger,"American,Fast Food"
2443,Gita Samosa Center,"Snacks,Indian"
2444,The Poutinerie,Desserts
2445,Sweet Viibes,Desserts
2446,SPICE CITY BANQUET & RESTAURANT WITH BBQ,North Indian
2447,Lilivadi Tasty Food,"Chinese,Tandoor"
2448,Bengaliayana,"North Indian,Bengali"
2449,Dakshinayan,"South Indian,Beverages"
2450,Bbq Magic,"Snacks,Kebabs"
2451,Das Khaman,Snacks
2452,Havmor Havfunn ice cream,"Ice Cream,Ice Cream Cakes"
2453,Chef Court,"North Indian,Chinese"
2454,Lantterns By Raisin,"Punjabi,Mexican"
2455,Swati Snacks,"Street Food,South Indian"
2456,Sbarro - New York Pizza,"Pizzas,Italian"
2457,Shiva'S Coffee Bar & Snacks - South Bopal,"Beverages,Chaat"
2458,Parosa,"North Indian,Snacks"
2459,Rageez,"North Indian,Biryani"
2460,Indie Brewed Cafe,Beverages
2461,Maruti,"Indian,Snacks"
2462,La Pino'Z Pizza,"Pizzas,Pastas"
2463,Lala ji Dilli Wale,"Chinese,Fast Food"
2464,Cheers,"Desserts,Beverages"
2465,Bawarchee,"North Indian,Chinese"
2466,Karnavati Snacks,"Street Food,Pizzas"
2467,Purohit Sandwich,"Beverages,Pizzas"
2468,Gurukrupa Fast Food,"Fast Food,American"
2469,The Raj Thaal,"Indian,Chinese"
2470,Dangee Dums,"Desserts,Bakery"
2471,Urban Vada Pav,Fast Food
2472,Noodle Co,"Combo,Chinese"
2473,AKSHAR AAHAR,"Gujarati,Thalis"
2474,Kumar's Kitchen,"North Indian,Chinese"
2475,Faasos - Wraps & Rolls,"Fast Food,Snacks"
2476,Twisted Roots,"Indian,Continental"
2477,Kailash Cholafali Centre,Snacks
2478,The Belgian Waffle Co.,Desserts
2479,Mithai And More,"Sweets,Desserts"
2480,D' Riniks Kitchen,"Indian,Tandoor"
2481,Yellow Taxi,"Chinese,Beverages"
2482,Shocolatery,Italian
2483,Sai Egg World,"Indian,Snacks"
2484,Mahalaxmi Bhajipav,"Fast Food,Snacks"
2485,Patel's buffet,"Indian,Thalis"
2486,Chup Chaap Cafe,"Chinese,Continental"
2487,Sanskari Biryani,"Biryani,Desserts"
2488,Oven Story Pizza,Pizzas
2489,The Almighty Biryani,"Biryani,Mughlai"
2490,Behrouz Biryani,"Biryani,Mughlai"
2491,VENUS veg & non veg,"North Indian,Tandoor"
2492,Sankalp,South Indian
2493,Wack Waffles & Brownies,"Desserts,Beverages"
2494,S.A.L.T - Same As Last Time,"Fast Food,North Indian"
2495,Spinning Tree Multi Cuisine Cafe,"Chinese,North Indian"
2496,Aho Punjab,"North Indian,Thalis"
2497,Apsara Ice Creams,"Ice Cream,Desserts"
2498,Chinese & More - Food Orbit,"Chinese,Thai"
2499,Treeside Restaurant,"Biryani,Chinese"
2500,Aaisha's Kitchen,"North Indian,South Indian"
2501,chai hai Na,"Fast Food,Beverages"
2502,Chaat Mahal - Food Orbit,Chaat
2503,The Burger Project,"Snacks,North Indian"
2504,Shree Rasavat Farsan House,"Snacks,Gujarati"
2505,Durva Foods,"South Indian,Indian"
2506,Pure Veg Meals by Lunchbox,"North Indian,Desserts"
2507,Fozzies Pizzaiolo,"Pizzas,Pastas"
2508,Hommed Tiffin,"North Indian,Gujarati"
2509,Pizza Never Lies,"Pizzas,Beverages"
2510,Shawarma,"Arabian,Fast Food"
2511,Disha'S Ghar Ka Khana,North Indian
2512,The Food Diaries,"Gujarati,Snacks"
2513,House of Mexican - Food Orbit,"Mexican,Italian"
2514,Southern Stories,South Indian
2515,Stone Baked Pizza Bodakdev,"Pizzas,Fast Food"
2516,Prince Corner - Isanpur Maninagar Vala - Food Orbi,"Street Food,Snacks"
2517,The Sandwich Company - Food Orbit,"Fast Food,Snacks"
2518,Raj Tadka,North Indian
2519,House Of Dosa,"Street Food,South Indian"
2520,Jaliyan Dining Hall,"Punjabi,Chinese"
2521,Frankie Station,"Fast Food,Snacks"
2522,Vadilal Ice Creams,Ice Cream
2523,Upper Crust,"Indian,Chinese"
2524,The Frying Pan,"American,Indian"
2525,Jay Bhavani Dryfruit Dish Gola,"Street Food,Desserts"
2526,Mom'S Paratha Cafe,North Indian
2527,Jasuben Shah Old Pizza,"Pizzas,Snacks"
2528,Hobnob Bistro,Indian
2529,Max Kitchen,"North Indian,Biryani"
2530,Live The Restaurant,"Chinese,Italian"
2531,Jay Dwarkadhish,Indian
2532,Mitti Lifestyle Store & Cafe,"Ice Cream,Desserts"
2533,Cakes N Bakes,"Desserts,Snacks"
2534,Imly Restaurant,"Indian,Chinese"
2535,@Mango,"Indian,Chinese"
2536,Tre - Bistro In Serenity,"North Indian,Indian"
2537,Param Sai Nashta House,"Snacks,North Indian"
2538,Sagar Snacks & Tiffin Service,"Fast Food,North Indian"
2539,Mellow Kitchen,"Continental,Indian"
2540,D'Tallii Egg,"Fast Food,Snacks"
2541,Melt In,"Bakery,Ice Cream"
2542,Lollo Rosso,"Sushi,Chinese"
2543,Smash cafe,"Fast Food,North Indian"
2544,Goli Vadapav,"Street Food,Fast Food"
2545,Bhullar's Butter Chicken Co.,"North Indian,Biryani"
2546,Momoman - Urban Chowk,"Chinese,Thai"
2547,Shreeji Panipuri,Snacks
2548,Khana Khazana,"Indian,Chinese"
2549,Subway,"Healthy Food,Salads"
2550,Baker'S Corner,"Bakery,Desserts"
2551,Amazing Hydrabadi Dum Biryani,"Biryani,North Indian"
2552,Indorian,"Snacks,Street Food"
2553,Eat Punjab,"Indian,Chinese"
2554,Papa Louie's Pizza,"Italian,Snacks"
2555,Magic Chicken,"Indian,Kerala"
2556,Fiddleton'S Travel Diaries,"Beverages,Pizzas"
2557,Prince  - Food Orbit,Street Food
2558,Shivam Snacks,"South Indian,North Indian"
2559,Egg House (Rooftop Family Cafe),"Street Food,Indian"
2560,Dreams & Mocktails - The Cafe,"Continental,Indian"
2561,The Good Bowl,"North Indian,Punjabi"
2562,TGB Cafe N Bakery,Bakery
2563,Mr. Franky,Snacks
2564,Lalaji Dilliwale,North Indian
2565,The Bake Bar,"Bakery,Desserts"
2566,Nachos & More,"Mexican,Jain"
2567,Choice Snacks Bar,"Pizzas,Indian"
2568,Shree Raj Food Centre,"North Indian,Gujarati"
2569,Mumbai Food Court,"Maharashtrian,Snacks"
2570,Burrito Express,"Mexican,American"
2571,Angat 22 - The Restaurant & Banquet,"Indian,Chinese"
2572,Radhe Shyam Tiffin Service,Indian
2573,Aura Courtyard by Marriott,"North Indian,Italian"
2574,The Lassi Corner,"Beverages,Ice Cream"
2575,Idly Vidly,South Indian
2576,Jay Sardar Fast Food,Fast Food
2577,Truckin Delicious,"Fast Food,American"
2578,Grand Trunk Road Connecting Cuisines,"Bengali,Chinese"
2579,Roastea,"Beverages,Italian-American"
2580,Grameen Kulfi,"Ice Cream,Desserts"
2581,Shmabhu'S Coffee Bar,"Snacks,Bakery"
2582,NIC Natural Ice Creams,"Ice Cream,Desserts"
2583,Cold Brew Company,"Beverages,Snacks"
2584,Strike Fast Food,Snacks
2585,Jay Jalaram Khaman House,"Indian,Continental"
2586,The Sizzling swad,"Indian,North Indian"
2587,Bole To.. Vadapav,Snacks
2588,Pick Up Meals By Terra,"Salads,Healthy Food"
2589,Cafe Affogato,Beverages
2590,The Brooklyn Creamery - Healthy Ice Cream,"Desserts,Ice Cream"
2591,Cube Lounge 24X7-By Club O7,Snacks
2592,Vintage vibes,"Chaat,Salads"
2593,beyond bhature,"Indian,Snacks"
2594,Spice Box Nonveg Kitchen,"North Indian,Biryani"
2595,Shreeji Krupa,"Snacks,Beverages"
2596,Yamuna Fast Food,South Indian
2597,Freshoos,Indian
2598,Matka King,"Biryani,Desserts"
2599,McDonald's,"Burgers,Beverages"
2600,Smokin' Joe'S,"Pizzas,Continental"
2601,Sabras-By Club O7,Gujarati
2602,The Thakkar's Thal Gujarati  Thali,"Gujarati,Indian"
2603,KETO CAFE,"South Indian,Indian"
2604,Urban Bites,"Fast Food,Pizzas"
2605,Pizza Tune,"Pizzas,Snacks"
2606,Shree Rasavat Restaurant,"Indian,South Indian"
2607,Chinese & More - Urban Chowk,"Chinese,Thai"
2608,Biryani Hazir Ho,"Biryani,North Indian"
2609,Badmash Biryani,"Biryani,Mughlai"
2610,The Biryani Life,"Biryani,Hyderabadi"
2611,Trio Spice,"Indian,Beverages"
2612,Brown Burger Co.,"Fast Food,Snacks"
2613,Asharfi Kulfi,"Ice Cream,Desserts"
2614,New York Pizzeria,"Pizzas,Fast Food"
2615,Momici-By Club O7,"Indian,Continental"
2616,Restora O7-By Club O7,"Indian,Snacks"
2617,London Bubble Co.,Desserts
2618,Matka Mahal,"Biryani,North Indian"
2619,Santushti,Beverages
2620,Pot Story,"North Indian,Biryani"
2621,Shreeji Food Center,Indian
2622,GULLY PUNJAB - Food Orbit,"North Indian,Beverages"
2623,Devbhoomi Pani Puri Center,Chaat
2624,The Dosa Times - Food Orbit,South Indian
2625,4 Coffee,Beverages
2626,Jashuben Old Pizza And Sandwich - Food Orbit,"Fast Food,Pizzas"
2627,Hetal'S Ahimsa Kitchen,"Salads,Fast Food"
2628,Danny's Coffee Bar,"Fast Food,Pizzas"
2629,1944 The Hocco Kitchen,North Indian
2630,Juice My Day,"Beverages,Juices"
2631,Firangi Bake,"Italian,Mexican"
2632,9834 The Fruit Truck,"Juices,Beverages"
2633,Starboy Pizza & Shakes,"Pizzas,Italian"
2634,Amdos Kitchen,"Chinese,Beverages"
2635,Winners Pizza (Fresh Dough),"Pizzas,Italian"
2636,Sweet Truth - Cake and Desserts,"Ice Cream,Bakery"
2637,Vadilal Scoop Shop,Ice Cream
2638,Faasos' Signature Wraps & Rolls,"Snacks,Beverages"
2639,LunchBox - Meals and Thalis,"North Indian,Punjabi"
2640,Vipul Dudhiya Sweets New Shilaj,"Desserts,Sweets"
2641,The Curry Whiisk,"North Indian,Tandoor"
2642,Kwality Walls Frozen Dessert and Ice Cream Shop,Ice Cream
2643,Tfd,"Gujarati,Snacks"
2644,Ram Aur Shyam Golavala,Ice Cream
2645,The Round Slice- Be Pizza Perfect,Pizzas
2646,Egg'O'Holic,Indian
2647,Starbucks Coffee,"Beverages,Ice Cream"
2648,Tummy Tucker,Street Food
2649,Manmohan'S,Snacks
2650,No Great Shakes,"Beverages,Ice Cream"
2651,Amritsari Kulche  - Food Orbit,"Indian,Beverages"
2652,Ha Moj Ha,"Fast Food,Street Food"
2653,Crosta Della - Food orbit,"Pizzas,Snacks"
2654,Chicago Pizza,"Pizzas,Pastas"
2655,Casanova Lounge,"Indian,Chinese"
2656,Lifely's Natural & Healthy Ice Cream,Ice Cream
2657,The Red Dot,North Indian
2658,Param Sai Dal Bati,North Indian
2659,The Zone,"Pizzas,Beverages"
2660,Shakti The Sandwich Shop,Indian
2661,Hocco Eatery,"North Indian,Pizzas"
2662,Mishmash,"Lebanese,Arabian"
2663,Cookienuts,Desserts
2664,Shree Parmeshwar Restaurant,"North Indian,Chinese"
2665,Punjab Di Gaddi,"Punjabi,North Indian"
2666,Dosa.In,South Indian
2667,Punjabi Tadka by TRD,"Punjabi,North Indian"
2668,Flourish Lounge & Cafe,"Beverages,Ice Cream"
2669,Spice Heritage Restaurant,"Chinese,Snacks"
2670,Seven Days Eatery,"Fast Food,Street Food"
2671,Brick Ovens,"Bakery,Desserts"
2672,Jab We Meet,"Chinese,Beverages"
2673,Sale & Pepe,Italian
2674,Fruit King,Juices
2675,Jalaram Khichdi Restaurant,"Thalis,North Indian"
2676,Moughal Chowk,Indian
2677,Goodluck Kitchen,"Punjabi,Biryani"
2678,Mr. Dosawala,"Indian,South Indian"
2679,Jalpaan Restaurant,"North Indian,Continental"
2680,Gwalia Sweets & Fast Food,"Sweets,Snacks"
2681,Delhi 6,"North Indian,Indian"
2682,The Paratha Engine,"North Indian,Punjabi"
2683,Hyderabadi Hut,"Hyderabadi,North Indian"
2684,Laxmi Ganthiya Rath,"Gujarati,Snacks"
2685,Pocketz,"Snacks,North Indian"
2686,Baba Egg'S Kitchen,North Indian
2687,Topping/ The Raj Banquets And Hotels,"Pizzas,Burgers"
2688,Sagar Snacks,"North Indian,Snacks"
2689,Drop Out Cafe - SindhuBhavan,"Italian,Mexican"
2690,Shiv Dosa,"South Indian,Street Food"
2691,Thicksip,Beverages
2692,Maa Bhavani Panipuri Cente,"Chaat,Bakery"
2693,M2B Madurai Meenakshi Bhavan Restro,"South Indian,Combo"
2694,Go Natural Nutritious,Bakery
2695,Baked By Ninis,Bakery
2696,Vipul Dudhiya Sweets,Sweets
2697,Franki Momo Hub,"Chinese,Fast Food"
2698,Martinoz Pizza,Pizzas
2699,Geeta Kitchen,Bakery
2700,Jenny's Brownies,"Bakery,Desserts"
2701,Sambar Cafe,South Indian
2702,Mangalorean Tasty Chiken,"Indian,Seafood"
2703,Grace Coffee Co.,"Beverages,Snacks"
2704,The S Kitchen,"Snacks,Beverages"
2705,Uncle Momo,"Chinese,Tibetan"
2706,Crush Coffee,"Continental,Beverages"
2707,Noodle Co.,"Chinese,Thai"
2708,Dangee Dums Yums,"Bakery,Desserts"
2709,Real Xpresso,"Fast Food,Italian"
2710,REE STORY,"North Indian,Indian"
2711,Jugaadi  Adda,Snacks
2712,Venus The Seafood,Indian
2713,China In A Box,"Chinese,Thai"
2714,New Prince Chinese Food,"North Indian,Chinese"
2715,Tea Post,"Street Food,Beverages"
2716,Fresh Ounce,"Beverages,Juices"
2717,Swat Coffee,"Indian,Beverages"
2718,Biryani Hub,"Biryani,Snacks"
2719,Happinezz Ice Creams by Vadilal,"Ice Cream,Desserts"
2720,Prince Corner,"South Indian,Chinese"
2721,Deryfresh - South Bopal,Ice Cream
2722,Flourish Icecream Lounge,Ice Cream
2723,Havmor - The Eatery,"Fast Food,Street Food"
2724,Shree Marutinandan,"North Indian,Snacks"
2725,Dum Matka,"Biryani,Snacks"
2726,Lush Restocafe,Indian
2727,Big Bite Burger,"Burgers,Snacks"
2728,Miami Shakes & More,"Beverages,Desserts"
2729,CAKES DELIGHT BY PREET,Bakery
2730,Mocktail Lab - Food Orbit,Beverages
2731,RUCHIIRAA RESTAURANT,"North Indian,South Indian"
2732,Australian Chef Pizza,"Pizzas,Italian"
2733,Gully Kitchen,"Beverages,Snacks"
2734,food mistri,"Indian,Chinese"
2735,Hunger Killer Cafe,Indian
2736,New York Waffles & Dinges,"Waffle,Desserts"
2737,Hunger'S Cuisine The Cafe,"Pizzas,Snacks"
2738,Delhi 6-The Real Taste Of Delhi,North Indian
2739,Miami Waffles & Jawbreakers,"Waffle,Desserts"
2740,Frankie On Fire - Food Orbit,"Snacks,Italian"
2741,McDonald's Gourmet Burger Collection,"Burgers,Beverages"
2742,London Yard Pizza,"Pizzas,Italian"
2743,Kathiyavadi soda shop,Beverages
2744,four food restaurant,"North Indian,Biryani"
2745,Swaad ka tadkaa,"North Indian,Thalis"
2746,Maharaj Bhajipav & Pulav (Manekchowk Wala),"Fast Food,Indian"
2747,MUCHHAD The Urban Dhaba,"North Indian,Biryani"
2748,Tea Pea Cafe,"Beverages,Italian"
2749,dakshaben khakharawala,Snacks
2750,Spice City & Banquet & Restaurant,"Indian,Beverages"
2751,Oh! Amdavad,"Fast Food,Snacks"
2752,Huber & Holly,"Pizzas,Beverages"
2753,Real Peprika,Pizzas
2754,Gwalia Sweets & Fast Food,"Sweets,North Indian"
2755,Matka Biryani - Food Orbit,"Biryani,Snacks"
2756,Yellow Mellow Restaurant,"Fast Food,Italian"
2757,Parinde Cafe,"Street Food,Fast Food"
2758,Sonu Patties,"Fast Food,Snacks"
2759,Spice Hub Restro Cafe,"Pizzas,Beverages"
2760,Sushito,"Sushi,Chinese"
2761,Mauve,"Oriental,Pizzas"
2762,Kulhad Coffe And Tea,"Beverages,Snacks"
2763,Momoman - Urban Chowk,"Chinese,Thai"
2764,Rangoli Icecream,"Ice Cream,Fast Food"
2765,The Pink Door By Parosa,"Indian,Chinese"
2766,Papadum,"South Indian,Thalis"
2767,Momo Guy,"Chinese,Desserts"
2768,Misal Darbar-South Bopal,"Street Food,Snacks"
2769,MBA In Khichdi,"Healthy Food,Home Food"
2770,Hot Pepper House- Indo Chinese - Food Orbit,"Chinese,Snacks"
2771,Panda Momos,"Chinese,Fast Food"
2772,Puffizza,"Pizzas,Italian"
2773,Sams Pizza,"Italian,Pizzas"
2774,Mahalaxmi Misal Vadapav,"Snacks,Indian"
2775,Hobby Kitchen,"Street Food,Snacks"
2776,Amaze Kulfi,"Street Food,Ice Cream"
2777,Baked By Nini s,Bakery
2778,Hari Om Chinees,Chinese
2779,Rokadiya Bhajiya,"Snacks,Gujarati"
2780,Tres Amigos,Mexican
2781,Juice Mama,"Beverages,Juices"
2782,The Blue Oven - Urban Chowk,"Italian,Desserts"
2783,Raj Purohit Sandwich,"Fast Food,Italian"
2784,ARABIAN KNIFE,"Arabian,Lebanese"
2785,CAKE DI Bakery &More,Bakery
2786,Shri Food Planet,Fast Food
2787,Ritirewaz Bufetly,"Indian,Chinese"
2788,The Engineer Sandwich Wala,"Fast Food,Snacks"
2789,Green Dot Pizza,"Pizzas,Italian"
2790,Cafe Urbanyan,"Continental,Beverages"
2791,Fyro,Beverages
2792,Panipuri 9693,"Beverages,Snacks"
2793,Pizza Hub - The Frying Pan,"Pizzas,American"
2794,"Labana Cakes, Flowers & More",Bakery
2795,Neelkamal Snacks & Coffee Bar,"Snacks,Beverages"
2796,Happy Food,"North Indian,Chinese"
2797,Magic Pancakes,"Waffle,Desserts"
2798,Cafe Farmland,"Italian,Juices"
2799,Krishna Snacks,"North Indian,Chinese"
2800,KISMAT PANJABI DHABA,"North Indian,Chinese"
2801,Bajrang Samosa House,Snacks
2802,Food Nest,"North Indian,South Indian"
2803,Shiv Restaurant,North Indian
2804,Pizza Hut,"Pizzas,Fast Food"
2805,Molly Moo Ice Creams,Ice Cream
2806,Gujju Khamni,"Gujarati,Snacks"
2807,Shakti - The Sandwich Shop,Pizzas
2808,Maa Ki Khichdi,"Healthy Food,Home Food"
2809,Wrap.Com,Snacks
2810,Khichdi Paradise,"Healthy Food,Home Food"
2811,The French Waffle - Food Orbit,"Waffle,Desserts"
2812,Theka Coffee,Beverages
2813,Jashuben Shah Old Pizza (Urban Choak Food Court),Pizzas
2814,Fresh N Fresh,Bakery
2815,Shambhu's Coffee Bar,"Beverages,Fast Food"
2816,Litebite Cafe Coffee & Snacks Bar,"Beverages,Fast Food"
2817,Jeeya Fast Food,"Street Food,Indian"
2818,Green Point Restaurant,"North Indian,Chinese"
2819,Drizzle's Pizza,"Pizzas,Pastas"
2820,Charotar Sweets And Foods,"Snacks,North Indian"
2821,Saladoholics,"Healthy Food,Salads"
2822,The Cafe Town,"Fast Food,Italian"
2823,Frankie Station -Bhagyoday Group,"Fast Food,Snacks"
2824,Rasna Buzz,"Snacks,Beverages"
2825,Online Insta Chay,"Street Food,Fast Food"
2826,Urban Foods,"Chinese,Indian"
2827,Puff Station,Bakery
2828,Bala's Food,"Fast Food,Street Food"
2829,Quench Cafe And Barbeque,"Chinese,North Indian"
2830,Sai Krupa Vadapav & Bhel Puri Center,Snacks
2831,Frankie Hub,Snacks
2832,McDonald's,"Burgers,Beverages"
2833,The Brooklyn Creamery - Healthy Ice Cream,"Desserts,Ice Cream"
2834,7 Eleven Restaurant,"South Indian,Chinese"
2835,Karnavati Snacks,Fast Food
2836,Kunj Kitchen,"Italian,Fast Food"
2837,Anmol Restaurant,"North Indian,Chinese"
2838,The Love Lock Cafe,"Italian,Mexican"
2839,Umiya Khaman Shop,"Gujarati,Snacks"
2840,La Milano Pizzeria,"Pizzas,Pastas"
2841,The Matka Khichdi,"Gujarati,Biryani"
2842,Shahi Fry Center,Fast Food
2843,Sfs Health Cafe,Indian
2844,Real Paprika,"Continental,Chinese"
2845,Hariom Dabeli Vadapav,"Street Food,Indian"
2846,Grill N Chill,"Biryani,Indian"
2847,Mr. & Mrs. Idly,South Indian
2848,Frankie Station,"Snacks,Pizzas"
2849,Lazeez Grill & Bbq,"North Indian,Indian"
2850,Desi Tadka,"Indian,North Indian"
2851,La Pino'Z Pizza,"Pizzas,Pastas"
2852,Hm Kathiyawadi,Indian
2853,Krishna Bhajipav,"Street Food,South Indian"
2854,the rubiaceae coffee brewers,Beverages
2855,Savoury (Guj) Restaurant & Banquet,"Indian,Chinese"
2856,Natural Ice Cream,Ice Cream
2857,Jay Jagannath,Fast Food
2858,Crazy 4 Chicken,"Snacks,Fast Food"
2859,Chulah Matka Biryani Kitchen,"Bengali,North Indian"
2860,Food Feast Restaurant,North Indian
2861,TGB Cafe N Bakery,"Bakery,Desserts"
2862,Cookdu Ku,North Indian
2863,Kwality Walls Frozen Dessert and Ice Cream Shop,"Desserts,Ice Cream"
2864,Happinezz Ice Creams by Vadilal,"Ice Cream,Desserts"
2865,Mr. Prince Paubhaji,North Indian
2866,bapa sitaram kathiyawadi hotel,North Indian
2867,Egger's Den,"Indian,Snacks"
2868,Panchvati Dining Hall,"Gujarati,Punjabi"
2869,Zayaka,"North Indian,South Indian"
2870,Tuli's Restaurant,"North Indian,Indian"
2871,Yatri Eggs On Wheel,"Street Food,Indian"
2872,Pramukh Kathiyawadi Bhojanalay-Sector 6,"Thalis,Gujarati"
2873,Ghar Ka Dabba,Indian
2874,Mk Sandwich,"Chinese,American"
2875,Panditji Chaatwala,"Fast Food,Chaat"
2876,Frankiewala From Surat,Indian
2877,Radhe Parotha House,"Street Food,Indian"
2878,Prince restaurant,"Gujarati,North Indian"
2879,Sankalp Restaurant,South Indian
2880,Badri SnackS,"Snacks,Chaat"
2881,Dangee Dums,"Desserts,Bakery"
2882,Jiya Fast Food,Indian
2883,Food Adda,"Continental,Italian"
2884,Monginis Cake Shop (Infocity),"Bakery,Desserts"
2885,Food Costa,Chinese
2886,Jumbo Dabeli And Sendwich,"Street Food,Indian"
2887,Shree Sai South Indian Hotel,South Indian
2888,Shiva'S Coffee Bar & Snacks,"Beverages,Fast Food"
2889,Pizza Hut,Pizzas
2890,Gulalwadi,Indian
2891,Jay Mataji Nasta,"Street Food,South Indian"
2892,Maa Bhawani restaurant,"Street Food,Snacks"
2893,Shree Marutinandan Kathiyawadi,"Indian,Chinese"
2894,Brother'S Cafe,"Continental,Beverages"
2895,Vanilla Multi-Cuisines,"Indian,Snacks"
2896,Engineer's Kitchen,"Snacks,Ice Cream"
2897,Street 8,"Fast Food,South Indian"
2898,Pooja Dhokla Shoppe,Snacks
2899,Exotikal Hub Private Limited,"Punjabi,Pastas"
2900,Punjabi Tadka,"North Indian,Chinese"
2901,Lazeez-Gandhinagar,"Tandoor,Indian"
2902,TGB Cafe'n Bakery,"Bakery,Desserts"
2903,Charmi Fast Food,"Fast Food,Snacks"
2904,Hotel Downtown,"Chinese,North Indian"
2905,The Capital Night,Indian
2906,Biryani House 2.0,Indian
2907,Impel Biryani,"Biryani,Chinese"
2908,Pizza Park,"Pizzas,Desserts"
2909,Marigold Restaurant,"North Indian,Chinese"
2910,Ihangover - A Munching Maniac,"Pizzas,Italian"
2911,Chopstick Box,"Chinese,Thalis"
2912,Das Surti Khaman,"Gujarati,Snacks"
